時間,コメント
5287.466,イケメンスナイパーね
5295.585,世界を射抜くイケメンスナイパー さん
5296.231,草
5296.26,wwwwwww
5296.92,ちゃんと殴るww
5302.997,w
5316.01,空気良すぎです！
5339.545,7wwww
5341.668,7ナイスw
5342.93,７ないすｗ
5343.654,7でかいよー！
5345.053,その報告ナイスwww
5348.298,7報告ｗｗｗｗ
5348.703,ちぐちゃんかわいいw
5352.936,ジャッジ！
5353.471,あｗｗ
5353.659,７でも
5354.809, www
5357.044,バウバウきちゃー
5362.632,ないす！
5362.673,ナイスワン！
5366.653,報告できるのえらすぎ！
5371.57,うっま
5375.235,www
5376.744,きるくりっぶのやつねw
5376.965,つよ
5377.306,おしいいい
5377.736,nt
5378.387,うっま
5378.799,nt
5379.045,nt！
5379.121,え
5379.197,nt
5381.872,nt
5382.102,nt！
5382.853,うまかった！ないえこ！
5383.162,ないえこ
5385.077,wwww
5387.255,nt
5387.674,wwwww
5388.513,nt
5389.183,wwwwwwww
5389.233,nt
5389.718,かっこいいなあｗｗｗ
5390.364,nt
5390.889,だるいwwwww
5392.245,草
5392.398, wwww
5393.35,ｗｗｗ
5394.519,ダルいなぁwwww
5395.069,ｗｗｗｗｗ
5395.696,nt
5396.941,www
5398.551,ﾏｧﾏｧ
5401.884,だおーw
5402.09,こん
5402.376,なんでも褒めてくれるやんｗｗ
5427.338, wwww
5437.316,ナイスワン
5451.466,ナイス分かたれ
5460.87,スパイクまずいか
5465.854,いい壁出すなあ
5477.008,おっしいい
5477.989,まじか～
5479.37,おしぃー！！！
5479.654,nt
